"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9148","Login et Logout Admin","","Tue Jul 29 18:47:31 WEST 2025","passed","Tue Jul 29 18:47:40 WEST 2025","","testsOrangehrm\DeleteEmployeeOrangehrm.spec.ts","",""
"","9564","Ajouter employé Hakim Alaoui Sahraoui","","Tue Jul 29 18:47:31 WEST 2025","passed","Tue Jul 29 18:47:40 WEST 2025","","testsOrangehrm\AddEmployeeOrangehrm.spec.ts","",""
"","10974","Ajouter puis modifier Hakim Alaoui Sahraoui en Smith","","Tue Jul 29 18:47:31 WEST 2025","passed","Tue Jul 29 18:47:42 WEST 2025","","testsOrangehrm\EditEmployeeOrangehrm.spec.ts","",""
"","10247","Session 5 – Filtrer un employé via Employee Name (autocomplete)","","Tue Jul 29 18:47:31 WEST 2025","passed","Tue Jul 29 18:47:41 WEST 2025","","testsOrangehrm\FilterEmployeeOrangehrm.spec.ts","",""
"","22","Dummy test DownloadCSVTemplate – always pass","","Tue Jul 29 18:47:31 WEST 2025","passed","Tue Jul 29 18:47:31 WEST 2025","","testsOrangehrm\DownloadCSVTemplate.spec.ts","",""
"","9555","Login et Logout Admin","","Tue Jul 29 18:47:40 WEST 2025","passed","Tue Jul 29 18:47:50 WEST 2025","","testsOrangehrm\LoginTestOrangehrm.spec.ts","",""
"","24","détection simple","","Tue Jul 29 18:47:31 WEST 2025","passed","Tue Jul 29 18:47:31 WEST 2025","","testsOrangehrm\DetectionTest.spec.ts","",""
"","30140","Télécharger le CSV Template via Data Import","","Tue Jul 29 18:01:25 WEST 2025","broken","Tue Jul 29 18:01:55 WEST 2025","","testsOrangehrm\DownloadCSVTemplate.spec.ts","",""
